phi,pZ1mean
° KW,bar
-360,1.6832972765
-359,1.6660848856
-358,1.6503474712
-357,1.6160472631
-356,1.5810420513
-355,1.5314940214
-354,1.4756851196
-353,1.4137129784
-352,1.3545942307
-351,1.3009355068
-350,1.2570015192
-349,1.2269957066
-348,1.2167183161
-347,1.2134971619
-346,1.2122395039
-345,1.2163199186
-344,1.2249091864
-343,1.2382551432
-342,1.2512028217
-341,1.2611435652
-340,1.2679531574
-339,1.2697941065
-338,1.2715735435
-337,1.2713896036
-336,1.271941781
-335,1.2721877098
-334,1.2691507339
-333,1.2702856064
-332,1.2692738771
-331,1.2697957754
-330,1.2691204548
-329,1.2706848383
-328,1.2718200684
-327,1.2734768391
-326,1.2784152031
-325,1.2834767103
-324,1.2879556417
-323,1.2929255962
-322,1.2973741293
-321,1.3015162945
-320,1.3049833775
-319,1.3074077368
-318,1.3081437349
-317,1.3090026379
-316,1.3073153496
-315,1.3058122396
-314,1.3047991991
-313,1.3024677038
-312,1.3009955883
-311,1.2995529175
-310,1.2982647419
-309,1.2967305183
-308,1.2954726219
-307,1.2955952883
-306,1.2951658964
-305,1.2966074944
-304,1.2967917919
-303,1.2994004488
-302,1.3010571003
-301,1.3025294542
-300,1.3035421371
-299,1.3060581684
-298,1.3069170713
-297,1.3086663485
-296,1.30881989
-295,1.309586525
-294,1.3095862865
-293,1.3093112707
-292,1.3106297255
-291,1.3104761839
-290,1.3098626137
-289,1.3102617264
-288,1.3092802763
-287,1.309463501
-286,1.3097707033
-285,1.309954524
-284,1.3090651035
-283,1.3080211878
-282,1.3076226711
-281,1.3082056046
-280,1.307561636
-279,1.3076537848
-278,1.3078688383
-277,1.3081753254
-276,1.3087579012
-275,1.3097090721
-274,1.3105676174
-273,1.3109970093
-272,1.3119177818
-271,1.3131146431
-270,1.3140351772
-269,1.3159376383
-268,1.3165203333
-267,1.3175330162
-266,1.3190977573
-265,1.31968081
-264,1.3205398321
-263,1.320969224
-262,1.3223496675
-261,1.3224720955
-260,1.3231469393
-259,1.3216747046
-258,1.3230549097
