phi,pZ1mean
° KW,bar
-360,1.3370215893
-359,1.3290132284
-358,1.3168632984
-357,1.2910023928
-356,1.2600153685
-355,1.221357584
-354,1.1786822081
-353,1.1333991289
-352,1.0894664526
-351,1.0506588221
-350,1.0204371214
-349,1.0030128956
-348,0.9943596721
-347,0.9904931784
-346,0.9892662168
-345,0.9908308983
-344,0.9934087396
-343,0.9987477064
-342,1.0081665516
-341,1.0154671669
-340,1.0198231936
-339,1.0245165825
-338,1.0269403458
-337,1.0280753374
-336,1.0266029835
-335,1.0275845528
-334,1.0275847912
-333,1.028934598
-332,1.0281983614
-331,1.0264496803
-330,1.0274928808
-329,1.0266644955
-328,1.0281983614
-327,1.0293951035
-326,1.0321561098
-325,1.0351930857
-324,1.0402245522
-323,1.0448582172
-322,1.0484484434
-321,1.051333189
-320,1.0532355309
-319,1.0554438829
-318,1.0567324162
-317,1.0567017794
-316,1.0560265779
-315,1.0555356741
-314,1.0541239977
-313,1.0530811548
-312,1.0526826382
-311,1.0513322353
-310,1.0507190228
-309,1.0498600006
-308,1.0489706993
-307,1.0492463112
-306,1.0490623713
-305,1.0493690968
-304,1.0491240025
-303,1.0509949923
-302,1.0516391993
-301,1.0522835255
-300,1.0534800291
-299,1.0542776585
-298,1.0550135374
-297,1.0569162369
-296,1.057621479
-295,1.0573151112
-294,1.0574375391
-293,1.0575606823
-292,1.0586652756
-291,1.0582355261
-290,1.0588800907
-289,1.0590949059
-288,1.0594938993
-287,1.058634758
-286,1.0584815741
-285,1.0581744909
-284,1.057284832
-283,1.0565794706
-282,1.0564256907
-281,1.056702137
-280,1.0567632914
-279,1.0574992895
-278,1.0579292774
-277,1.0589109659
-276,1.0591255426
-275,1.0601372719
-274,1.0606282949
-273,1.060996294
-272,1.0621929169
-271,1.0631130934
-270,1.0635428429
-269,1.0636349916
-268,1.0645861626
-267,1.0653835535
-266,1.0665185452
-265,1.0661503077
-264,1.0664877892
-263,1.0674388409
-262,1.0675308704
-261,1.0678989887
-260,1.0684202909
-259,1.0691561699
-258,1.069892168
-257,1.0693093538
-256,1.0709660053
-255,1.0708432198
-254,1.0730823278
-253,1.0728985071
-252,1.074739337
-251,1.0761508942
-250,1.0772551298
-249,1.0788815022
-248,1.0782372952
-247,1.079249382
-246,1.0797095299
