Dateiname Messdaten,Dateiname Indizierung,Datum,Bemerkung,Drehzahl,Drehmoment,Leistung,Gaspedal ,T_vV,T_nV,T_nDK,T_Zyl1,T_Zyl2,T_n_DK,T_Umg,T_Zyl3,p_vV,p_LLNK ,p_nDK,p_nLLK,p_nT,p_n_DK,p_Umg ,mpunkt_Ltr,mpunkt_L,rel. Feuchte,T_LLK_vl,T_LLK_rl,T_Zyl4,T_LLVKAELTE,X_H2O,T_vT_neu,T_nT_neu,T_nDPF_neu,T_AGRK_neu,T_ABGVT ,T_ABGNT,T_KAT2,T_n_Wü,ATL_rpm_Analog,Lamba (errechnet),Lambda Steuergerät,Nockenwelle,p_vT,p_AGRK,p_VTG,p_n_Wü,p_nV,p_nDPF,mpunkt_Kr,T_Kr,p_Kr ,m_Kr[kg],ZZP Zyl1,ZZP Zyl2,ZZP Zyl3,ZZP Zyl4,T_Öl,p_Öl,T_KW_Lager,T_nicht benutzt,n_Turbo,T_Kaeltemasch,T_G_Warnung,T_G_Abschaltung,T_KW_vl,T_KW_rl,T_vZyl2,Schwingung Getriebeglocke,Turbo Kühlmittelstrom,Lambda BS,Compa,HC,CO,CO2,O2,NOx,FSN Mittel,p_mi_mean_Pi,m_spez_HC_Pi,m_spez_NOx_Pi,m_spez_CO_Pi,m_spez_CO2_Pi,m_spez_Russ_Pi,m_spez_HC_P,m_spez_NOx_P,m_spez_CO_P,m_spez_CO2_P,m_spez_Russ_P,m_spez_HC_M,m_spez_NOx_M,m_spez_CO_M,m_spez_CO2_M,m_spez_Russ_M,frei,frei,frei,frei,frei,frei,frei,frei,frei,mpunkt_Kr_AG,PMAX_Zyl1,PMAX_POS_Zyl1,Drehzahl_Zyl1,PI_Zyl1,dPMAX_Zyl1,dPMAX_POS_Zyl1,PS_Zyl1,NI_Zyl1,p85_Zyl1,p85_MAX_Zyl1,KnST_Zyl1,KR_rel_Zyl1,PMAX_LIM_Zyl1,IMEP_LIM_Zyl1,CA05_Zyl1,CA50_Zyl1,CA90_Zyl1,COV_Zyl1,COV_AVG_Zyl1,COV_MAX_Zyl1,IMEP_Zyl1,PMEP_Zyl1,NMEP_Zyl1,frei,frei,frei,frei,Event_Cnt_Zyl1,NMEP_AVG_Zyl1,PMAX_AVG_Zyl1,CA50_AVG_Zyl1,CA50_AVG_Zyl1,PMAX_Zyl2,PMAX_POS_Zyl2,Drehzahl_Zyl2,PI_Zyl2,dPMAX_Zyl2,dPMAX_POS_Zyl2,PS_Zyl2,NI_Zyl2,p85_Zyl2,p85_MAX_Zyl2,KnST_Zyl2,KR_rel_Zyl2,PMAX_LIM_Zyl2,IMEP_LIM_Zyl2,CA05_Zyl2,CA50_Zyl2,CA90_Zyl2,COV_Zyl2,COV_AVG_Zyl2,COV_MAX_Zyl2,IMEP_Zyl2,PMEP_Zyl2,NMEP_Zyl2,frei,frei,frei,frei,Event_Cnt_Zyl2,NMEP_AVG_Zyl2,PMAX_AVG_Zyl2,CA50_AVG_Zyl2,CA50_AVG_Zyl2,PMAX_Zyl3,PMAX_POS_Zyl3,Drehzahl_Zyl3,PI_Zyl3,dPMAX_Zyl3,dPMAX_POS_Zyl3,PS_Zyl3,NI_Zyl3,p85_Zyl3,p85_MAX_Zyl3,KnST_Zyl3,KR_rel_Zyl3,PMAX_LIM_Zyl3,IMEP_LIM_Zyl3,CA05_Zyl3,CA50_Zyl3,CA90_Zyl3,COV_Zyl3,COV_AVG_Zyl3,COV_MAX_Zyl3,IMEP_Zyl3,PMEP_Zyl3,NMEP_Zyl3,frei,frei,frei,frei,Event_Cnt_Zyl3,NMEP_AVG_Zyl3,PMAX_AVG_Zyl3,CA50_AVG_Zyl3,CA50_AVG_Zyl3,PMAX_Zyl4,PMAX_POS_Zyl4,Drehzahl_Zyl4,PI_Zyl4,dPMAX_Zyl4,dPMAX_POS_Zyl4,PS_Zyl4,NI_Zyl4,p85_Zyl4,p85_MAX_Zyl4,KnST_Zyl4,KR_rel_Zyl4,PMAX_LIM_Zyl4,IMEP_LIM_Zyl4,CA05_Zyl4,CA50_Zyl4,CA90_Zyl4,COV_Zyl4,COV_AVG_Zyl4,COV_MAX_Zyl4,IMEP_Zyl4,PMEP_Zyl4,NMEP_Zyl4,frei,frei,frei,frei,Event_Cnt_Zyl4,NMEP_AVG_Zyl4,PMAX_AVG_Zyl4,CA50_AVG_Zyl4,CA50_AVG_Zyl4
-,- ,- ,-,1/min ,Nm ,kW,% ,degC,degC,degC,degC,degC,degC,degC,degC,mbar,mbar,mbar,mbar,mbar,mbar,mbar,kg/h,kg/h,%,degC,degC,degC,degC,,degC,degC,degC,degC,degC,degC,degC,degC,-,,-,°,mbar,mbar,mbar,mbar,mbar,mbar,kg/h,degC,mbar,,°,°,°,°,degC,mbar,degC,degC,Hz,degC,degC,degC,degC,degC,degC,mm,l/min,,-,ppm,%,%,%,ppm,-,bar,g/kWh,g/kWh,g/kWh,g/kWh,g/kWh,g/kWh,g/kWh,g/kWh,g/kWh,g/kWh,g/Nm,g/Nm,g/Nm,g/Nm,g/Nm,/,/,/,/,/,/,/,/,/,kg/h,bar,°KW n ZOT,1/min,bar,bar/°KW,°KW n ZOT,bar,V,mbar,mbar,ohne,%,ohne,ohne,°KW n ZOT,°KW n ZOT,°KW n ZOT,%,%,%,bar,bar,bar,/,/,/,/,ohne,bar,bar,°KW n ZOT,°KW n ZOT,bar,°KW n ZOT,1/min,bar,bar/°KW,°KW n ZOT,bar,V,mbar,mbar,ohne,%,ohne,ohne,°KW n ZOT,°KW n ZOT,°KW n ZOT,%,%,%,bar,bar,bar,/,/,/,/,ohne,bar,bar,°KW n ZOT,°KW n ZOT,bar,°KW n ZOT,1/min,bar,bar/°KW,°KW n ZOT,bar,V,mbar,mbar,ohne,%,ohne,ohne,°KW n ZOT,°KW n ZOT,°KW n ZOT,%,%,%,bar,bar,bar,/,/,/,/,ohne,bar,bar,°KW n ZOT,°KW n ZOT,bar,°KW n ZOT,1/min,bar,bar/°KW,°KW n ZOT,bar,V,mbar,mbar,ohne,%,ohne,ohne,°KW n ZOT,°KW n ZOT,°KW n ZOT,%,%,%,bar,bar,bar,/,/,/,/,ohne,bar,bar,°KW n ZOT,°KW n ZOT
1500-002-0000_1.tsf,1500-002-0000_1.ind,2/12/2014 9:48,1500_002,1500,31.3,4.9,27.8,31.0,62.7,61.3,30.5,28.7,100.1,27.9,29.0,1006.7,1009.2,1032.8,1045.1,1025.9,1005.4,1007.6,45.4,45.6,17.2,22.5,24.5,34.0,-239.9,4.0,196.1,171.6,148.8,92.9,2373.9,2373.9,NaN,2373.9,48310.2,2.2,0.0,0.0,1132.0,1012.6,989.5,986.0,1043.2,1016.3,1.5,-243.9,4878.3,0.7,0.0,0.0,0.0,0.0,89.4,3000.5,883.1,-243.9,807.2,-17.4,41.5,37.5,91.3,89.4,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,45.2,13.8,1498.6,0.0,1.8,12.7,0.3,0.0,382.3,382.3,0.4,18.2,-1.0,1.0,-4.3,12.3,20.1,0.0,0.0,0.0,3.6,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500-002-0000_2.tsf,1500-002-0000_2.ind,2/12/2014 9:54,1500_004,1500,61.1,9.6,37.8,32.5,81.9,79.0,32.0,29.0,100.1,28.7,29.2,1006.6,1009.3,1128.3,1144.8,1029.5,1005.5,1007.7,49.1,49.3,17.1,22.5,25.5,34.0,-239.9,4.2,286.8,248.8,245.5,109.7,2373.9,2373.9,NaN,2373.9,48341.4,1.4,0.0,0.0,1285.0,1010.3,990.1,986.5,1145.3,1015.4,2.4,-243.9,4878.1,0.5,0.0,0.0,0.0,0.0,92.5,3008.5,883.1,-243.9,1223.3,-17.4,40.5,36.5,91.5,90.0,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,50.1,18.2,1498.5,0.0,3.7,16.0,0.4,0.0,441.8,441.8,0.6,28.5,-1.0,1.0,-1.2,15.9,23.3,0.0,0.0,0.0,5.6,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500-002-0000_3.tsf,1500-002-0000_3.ind,2/12/2014 10:04,1500_006,1500,94.1,14.8,47.3,33.5,89.2,86.5,32.5,28.8,100.1,28.5,29.0,1006.0,1009.5,1265.1,1273.2,1035.5,1005.4,1007.8,65.0,65.3,17.5,22.5,25.5,34.0,-239.9,4.2,353.1,299.4,267.0,109.4,2373.9,2373.9,NaN,2373.9,48284.4,1.4,0.0,0.0,1476.5,1010.2,990.3,986.9,1275.6,1015.7,3.2,-243.9,4881.8,0.9,0.0,0.0,0.0,0.0,95.6,3014.0,883.1,-243.9,1566.8,-17.2,40.5,36.5,90.0,89.5,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,68.5,13.6,1498.6,0.1,8.7,11.0,1.3,0.0,1467.1,1467.1,1.0,50.3,-1.0,1.0,-1.6,11.8,25.4,0.0,0.0,0.0,7.7,0.0,7.7,0.0,0.0,0.0,0.0,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500-002-0000_4.tsf,1500-002-0000_4.ind,2/12/2014 10:08,1500_008,1500,124.3,19.5,50.8,33.5,94.0,91.0,33.5,28.9,100.1,28.6,29.5,1005.6,1009.4,1353.4,1355.0,1044.4,1005.4,1007.8,75.9,76.3,17.6,22.5,26.5,34.5,-239.9,4.3,423.5,359.5,318.3,110.8,2373.9,2373.9,NaN,2373.9,48282.8,1.2,0.0,0.0,1524.7,1011.5,990.4,987.0,1357.3,1015.9,4.3,-243.9,4873.2,0.6,0.0,0.0,0.0,0.0,98.3,3020.0,883.1,-243.9,1740.8,-17.4,40.5,36.5,89.5,89.5,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,76.1,13.4,1498.6,0.1,6.1,9.8,0.9,0.0,986.7,986.7,1.0,49.1,-1.0,1.0,-1.7,11.8,26.8,0.0,0.0,0.0,9.4,0.0,9.4,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500-002-0000_5.tsf,1500-002-0000_5.ind,2/12/2014 10:12,1500_010,1500,155.6,24.4,56.4,33.5,106.4,101.5,34.5,28.5,100.1,29.0,29.5,1004.2,1009.6,1545.2,1543.1,1049.9,1005.4,1007.8,94.2,94.6,17.4,23.2,27.5,34.5,-239.9,4.3,462.5,377.5,334.5,108.5,2373.9,2373.9,NaN,2373.9,48281.2,1.3,0.0,0.0,1821.3,1012.7,990.7,987.3,1548.1,1015.7,5.3,-243.9,4873.0,0.3,0.0,0.0,0.0,0.0,100.4,3023.2,883.1,-243.9,2076.5,-17.4,40.5,36.5,89.5,89.5,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,92.0,13.7,1498.6,0.1,5.0,9.6,0.7,0.0,758.4,758.4,1.0,49.0,-1.0,1.0,-3.6,11.6,26.2,0.0,0.0,0.0,11.6,-0.1,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500-002-0000_6.tsf,1500-002-0000_6.ind,2/12/2014 10:16,1500_012,1500,188.2,29.6,61.7,33.5,114.5,108.9,35.0,28.8,100.1,29.3,2.2,1003.0,1009.7,1711.5,1701.3,1053.6,1005.5,1008.0,112.9,113.4,17.4,23.5,27.5,35.0,-239.9,4.4,500.9,401.6,354.9,100.5,2373.9,2373.9,NaN,2373.9,48275.8,1.3,0.0,0.0,2018.3,1011.9,990.7,987.3,1705.9,1013.2,6.3,-243.9,4878.9,0.8,0.0,0.0,0.0,0.0,103.0,3032.7,883.1,-243.9,2295.9,-17.2,40.5,36.5,89.4,90.2,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,110.0,13.3,1498.6,0.1,5.8,8.6,0.7,0.0,755.3,755.3,1.0,50.3,1.0,1.0,-5.8,10.8,25.0,0.0,0.0,0.0,13.9,0.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500-002-0000_7.tsf,1500-002-0000_7.ind,2/12/2014 10:19,1500_014,1500,219.6,34.5,67.3,32.6,113.5,108.5,33.9,28.0,100.1,29.1,29.0,1000.2,1009.6,1832.1,1817.3,1061.7,1005.4,1008.0,145.7,146.4,17.6,23.5,27.5,34.3,-239.9,4.4,523.5,415.2,362.7,60.1,2373.9,2373.9,NaN,2373.9,48281.2,1.4,0.0,0.0,2151.6,1019.2,990.8,987.3,1824.3,1016.1,7.3,-243.9,4874.9,0.5,0.0,0.0,0.0,0.0,103.5,3946.6,883.1,-243.9,2405.9,-17.3,40.5,36.5,88.5,89.6,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,130.5,12.7,1498.5,0.1,7.3,7.6,1.0,0.0,990.3,990.3,1.0,50.3,1.0,1.0,-6.5,9.6,22.1,0.0,0.0,0.0,16.1,0.0,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500-002-0000_8.tsf,1500-002-0000_8.ind,2/12/2014 10:23,1500_016,1500,251.1,39.4,72.8,33.2,123.5,117.8,34.0,28.0,100.1,29.2,29.0,999.3,1009.8,1948.0,1930.1,1068.6,1005.4,1008.2,154.6,155.3,17.8,23.5,28.0,34.5,-239.9,4.5,563.4,445.5,393.3,58.3,2373.9,2373.9,NaN,2373.9,48281.2,0.3,0.0,0.0,2225.1,1022.1,990.9,987.3,1936.7,1018.0,-55.7,-243.9,4880.8,0.9,0.0,0.0,0.0,0.0,105.5,3841.1,883.1,-243.9,2547.0,-17.2,40.5,36.5,87.7,89.5,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,142.6,12.8,1498.7,0.1,7.6,7.1,1.1,0.0,1086.1,1086.1,1.0,50.3,1.0,1.0,-6.1,9.6,22.9,0.0,0.0,0.0,18.2,0.0,18.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500-002-0000_9.tsf,1500-002-0000_9.ind,2/12/2014 10:31,1500_018,1500,282.0,44.3,78.8,34.0,131.5,125.3,34.0,28.0,100.1,29.6,28.9,998.7,1010.0,2019.7,2006.4,1070.4,1005.3,1008.4,160.9,161.6,17.6,23.5,28.5,34.0,-239.9,4.5,606.6,482.9,428.3,60.4,2373.9,2373.9,NaN,2373.9,48277.3,1.2,0.0,0.0,2201.9,1024.9,990.8,987.3,2015.0,1019.5,9.4,-243.9,4877.7,0.7,0.0,0.0,0.0,0.0,107.8,3744.5,883.1,-243.9,2644.6,-17.2,40.5,36.5,88.0,90.0,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,150.2,13.4,1498.6,0.1,7.9,6.8,1.0,0.0,1048.6,1048.6,1.0,50.3,1.0,1.0,-6.1,9.9,24.4,0.0,0.0,0.0,20.1,0.2,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
