Dateiname Messdaten,Dateiname Indizierung,Datum,Bemerkung,Drehzahl,Drehmoment,Leistung,Gaspedal ,T_vV,T_nV,T_nDK,T_Zyl1,T_Zyl2,T_n_DK,T_Umg,T_Zyl3,p_vV,p_LLNK ,p_nDK,p_nLLK,p_nT,p_n_DK,p_Umg ,mpunkt_Ltr,mpunkt_L,rel. Feuchte,T_LLK_vl,T_LLK_rl,T_Zyl4,T_LLVKAELTE,X_H2O,T_vT_neu,T_nT_neu,T_nDPF_neu,T_AGRK_neu,T_ABGVT ,T_ABGNT,T_KAT2,T_n_Wü,ATL_rpm_Analog,Lamba (errechnet),Lambda Steuergerät,Nockenwelle,p_vT,p_AGRK,p_VTG,p_n_Wü,p_nV,p_nDPF,mpunkt_Kr,T_Kr,p_Kr ,m_Kr[kg],ZZP Zyl1,ZZP Zyl2,ZZP Zyl3,ZZP Zyl4,T_Öl,p_Öl,T_KW_Lager,T_nicht benutzt,n_Turbo,T_Kaeltemasch,T_G_Warnung,T_G_Abschaltung,T_KW_vl,T_KW_rl,T_vZyl2,Schwingung Getriebeglocke,Turbo Kühlmittelstrom,Lambda BS,Compa,HC,CO,CO2,O2,NOx,FSN Mittel,p_mi_mean_Pi,m_spez_HC_Pi,m_spez_NOx_Pi,m_spez_CO_Pi,m_spez_CO2_Pi,m_spez_Russ_Pi,m_spez_HC_P,m_spez_NOx_P,m_spez_CO_P,m_spez_CO2_P,m_spez_Russ_P,m_spez_HC_M,m_spez_NOx_M,m_spez_CO_M,m_spez_CO2_M,m_spez_Russ_M,frei,frei,frei,frei,frei,frei,frei,frei,frei,mpunkt_Kr_AG,PMAX_Zyl1,PMAX_POS_Zyl1,Drehzahl_Zyl1,PI_Zyl1,dPMAX_Zyl1,dPMAX_POS_Zyl1,PS_Zyl1,NI_Zyl1,p85_Zyl1,p85_MAX_Zyl1,KnST_Zyl1,KR_rel_Zyl1,PMAX_LIM_Zyl1,IMEP_LIM_Zyl1,CA05_Zyl1,CA50_Zyl1,CA90_Zyl1,COV_Zyl1,COV_AVG_Zyl1,COV_MAX_Zyl1,IMEP_Zyl1,PMEP_Zyl1,NMEP_Zyl1,frei,frei,frei,frei,Event_Cnt_Zyl1,NMEP_AVG_Zyl1,PMAX_AVG_Zyl1,CA50_AVG_Zyl1,CA50_AVG_Zyl1,PMAX_Zyl2,PMAX_POS_Zyl2,Drehzahl_Zyl2,PI_Zyl2,dPMAX_Zyl2,dPMAX_POS_Zyl2,PS_Zyl2,NI_Zyl2,p85_Zyl2,p85_MAX_Zyl2,KnST_Zyl2,KR_rel_Zyl2,PMAX_LIM_Zyl2,IMEP_LIM_Zyl2,CA05_Zyl2,CA50_Zyl2,CA90_Zyl2,COV_Zyl2,COV_AVG_Zyl2,COV_MAX_Zyl2,IMEP_Zyl2,PMEP_Zyl2,NMEP_Zyl2,frei,frei,frei,frei,Event_Cnt_Zyl2,NMEP_AVG_Zyl2,PMAX_AVG_Zyl2,CA50_AVG_Zyl2,CA50_AVG_Zyl2,PMAX_Zyl3,PMAX_POS_Zyl3,Drehzahl_Zyl3,PI_Zyl3,dPMAX_Zyl3,dPMAX_POS_Zyl3,PS_Zyl3,NI_Zyl3,p85_Zyl3,p85_MAX_Zyl3,KnST_Zyl3,KR_rel_Zyl3,PMAX_LIM_Zyl3,IMEP_LIM_Zyl3,CA05_Zyl3,CA50_Zyl3,CA90_Zyl3,COV_Zyl3,COV_AVG_Zyl3,COV_MAX_Zyl3,IMEP_Zyl3,PMEP_Zyl3,NMEP_Zyl3,frei,frei,frei,frei,Event_Cnt_Zyl3,NMEP_AVG_Zyl3,PMAX_AVG_Zyl3,CA50_AVG_Zyl3,CA50_AVG_Zyl3,PMAX_Zyl4,PMAX_POS_Zyl4,Drehzahl_Zyl4,PI_Zyl4,dPMAX_Zyl4,dPMAX_POS_Zyl4,PS_Zyl4,NI_Zyl4,p85_Zyl4,p85_MAX_Zyl4,KnST_Zyl4,KR_rel_Zyl4,PMAX_LIM_Zyl4,IMEP_LIM_Zyl4,CA05_Zyl4,CA50_Zyl4,CA90_Zyl4,COV_Zyl4,COV_AVG_Zyl4,COV_MAX_Zyl4,IMEP_Zyl4,PMEP_Zyl4,NMEP_Zyl4,frei,frei,frei,frei,Event_Cnt_Zyl4,NMEP_AVG_Zyl4,PMAX_AVG_Zyl4,CA50_AVG_Zyl4,CA50_AVG_Zyl4
-,- ,- ,-,1/min ,Nm ,kW,% ,degC,degC,degC,degC,degC,degC,degC,degC,mbar,mbar,mbar,mbar,mbar,mbar,mbar,kg/h,kg/h,%,degC,degC,degC,degC,,degC,degC,degC,degC,degC,degC,degC,degC,-,,-,°,mbar,mbar,mbar,mbar,mbar,mbar,kg/h,degC,mbar,,°,°,°,°,degC,mbar,degC,degC,Hz,degC,degC,degC,degC,degC,degC,mm,l/min,,-,ppm,%,%,%,ppm,-,bar,g/kWh,g/kWh,g/kWh,g/kWh,g/kWh,g/kWh,g/kWh,g/kWh,g/kWh,g/kWh,g/Nm,g/Nm,g/Nm,g/Nm,g/Nm,/,/,/,/,/,/,/,/,/,kg/h,bar,°KW n ZOT,1/min,bar,bar/°KW,°KW n ZOT,bar,V,mbar,mbar,ohne,%,ohne,ohne,°KW n ZOT,°KW n ZOT,°KW n ZOT,%,%,%,bar,bar,bar,/,/,/,/,ohne,bar,bar,°KW n ZOT,°KW n ZOT,bar,°KW n ZOT,1/min,bar,bar/°KW,°KW n ZOT,bar,V,mbar,mbar,ohne,%,ohne,ohne,°KW n ZOT,°KW n ZOT,°KW n ZOT,%,%,%,bar,bar,bar,/,/,/,/,ohne,bar,bar,°KW n ZOT,°KW n ZOT,bar,°KW n ZOT,1/min,bar,bar/°KW,°KW n ZOT,bar,V,mbar,mbar,ohne,%,ohne,ohne,°KW n ZOT,°KW n ZOT,°KW n ZOT,%,%,%,bar,bar,bar,/,/,/,/,ohne,bar,bar,°KW n ZOT,°KW n ZOT,bar,°KW n ZOT,1/min,bar,bar/°KW,°KW n ZOT,bar,V,mbar,mbar,ohne,%,ohne,ohne,°KW n ZOT,°KW n ZOT,°KW n ZOT,%,%,%,bar,bar,bar,/,/,/,/,ohne,bar,bar,°KW n ZOT,°KW n ZOT
2000-002-0000_1.tsf,2000-002-0000_1.ind,2/12/2014 11:09,2000_002,2000,31.2,6.5,36.8,33.5,84.5,82.5,31.5,28.5,100.1,30.1,28.7,1006.2,1010.2,1136.2,1149.4,1031.5,1006.3,1008.6,66.2,66.5,17.2,22.9,26.4,33.5,-239.9,4.6,213.6,183.6,183.0,105.2,2373.9,2373.9,NaN,2373.9,47987.5,2.3,0.0,0.0,1343.3,1008.6,991.9,988.1,1150.8,1016.4,2.1,-243.9,4893.5,0.8,0.0,0.0,0.0,0.0,93.7,3054.4,883.1,-243.9,1354.0,-17.3,45.4,40.5,90.7,89.5,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,47.2,4.8,1998.1,0.1,1.4,-9.0,0.4,0.0,494.6,494.6,0.3,15.6,-1.0,1.0,-5.2,16.0,24.4,0.0,0.0,0.0,3.9,-0.1,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-002-0000_2.tsf,2000-002-0000_2.ind,2/12/2014 11:13,2000_004,2000,62.2,13.0,43.8,32.5,92.0,89.5,32.0,28.5,100.1,29.3,29.0,1005.7,1010.3,1241.8,1251.5,1037.0,1006.3,1008.6,80.2,80.6,17.9,23.5,27.5,33.5,-239.9,4.5,290.2,243.1,230.8,112.8,2373.9,2373.9,NaN,2373.9,47945.3,1.8,0.0,0.0,1457.3,1008.9,992.0,988.3,1255.6,1015.0,3.2,-243.9,4889.4,0.6,0.0,0.0,0.0,0.0,94.2,3057.2,883.1,-243.9,1620.0,-17.3,44.4,40.5,90.5,89.5,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,55.7,16.4,1998.1,0.1,4.3,15.3,1.3,0.0,1335.8,1335.8,1.0,50.1,-1.0,1.0,-3.2,15.2,24.4,0.0,0.0,0.0,6.1,-0.1,5.9,0.0,0.0,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-002-0000_3.tsf,2000-002-0000_3.ind,2/12/2014 11:17,2000_006,2000,94.2,19.7,50.4,32.0,91.0,88.5,31.5,28.2,100.1,29.6,28.5,1003.5,1010.3,1369.2,1373.0,1043.8,1006.3,1008.6,111.0,111.5,17.8,23.3,26.5,33.0,-239.9,4.6,355.4,297.3,272.0,107.6,2373.9,2373.9,NaN,2373.9,47957.8,1.8,0.0,0.0,1545.0,1008.9,992.1,988.4,1378.1,1011.6,4.4,-243.9,4888.7,0.2,0.0,0.0,0.0,0.0,96.5,3059.9,883.1,-243.9,1843.5,-17.3,44.4,39.5,89.5,89.5,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,67.9,15.0,1998.1,0.1,3.5,12.0,1.2,0.0,1354.8,1354.8,1.0,48.5,-1.0,1.0,-3.4,13.6,25.8,0.0,0.0,0.0,8.1,-0.1,8.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-002-0000_4.tsf,2000-002-0000_4.ind,2/12/2014 11:21,2000_008,2000,124.5,26.1,54.4,32.5,109.0,105.7,33.0,28.5,100.1,29.9,29.0,1002.6,1010.3,1510.0,1507.4,1057.1,1006.7,1008.5,119.7,120.2,17.7,23.3,28.5,33.0,-239.9,4.6,421.9,350.3,318.7,120.0,2373.9,2373.9,NaN,2373.9,47999.2,1.5,0.0,0.0,1675.5,1008.5,992.3,988.5,1514.1,1012.6,5.6,-243.9,4890.6,0.8,0.0,0.0,0.0,0.0,97.6,3060.9,883.1,-243.9,2107.9,-17.2,44.4,39.5,89.9,90.0,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,77.1,15.3,1998.1,0.1,3.3,12.6,0.9,0.0,930.2,930.2,1.0,48.2,-1.0,1.0,-3.1,14.1,28.5,0.0,0.0,0.0,10.1,0.0,10.1,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-002-0000_5.tsf,2000-002-0000_5.ind,2/12/2014 11:25,2000_010,2000,155.3,32.5,60.8,33.0,127.5,123.5,35.5,29.0,100.1,30.2,29.7,1000.1,1010.4,1764.1,1752.5,1071.5,1006.5,1008.7,148.3,149.0,17.5,23.5,30.5,33.8,-239.9,4.6,451.8,360.9,331.4,122.0,2373.9,2373.9,NaN,2373.9,47953.9,1.5,0.0,0.0,2003.8,1014.4,992.4,988.6,1763.9,1016.1,7.0,-243.9,4892.3,0.4,0.0,0.0,0.0,0.0,100.7,3063.7,883.1,-243.9,2468.7,-17.3,44.4,39.5,89.0,89.8,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,91.6,16.2,1998.1,0.2,4.6,-1.6,1.4,0.0,1379.4,1379.4,1.0,50.3,-1.0,1.0,-4.1,14.3,28.9,0.0,0.0,0.0,12.3,-0.1,12.2,0.0,0.0,0.0,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-002-0000_6.tsf,2000-002-0000_6.ind,2/12/2014 11:30,2000_012,2000,187.8,39.3,64.8,32.5,128.4,124.5,34.8,28.9,100.1,30.1,29.5,996.7,1010.3,1920.7,1904.4,1087.5,1006.3,1008.7,180.3,181.1,17.4,23.5,30.5,33.0,-239.9,4.6,480.4,379.2,346.5,108.6,2373.9,2373.9,NaN,2373.9,47917.2,1.6,0.0,0.0,2139.1,1025.3,992.4,988.6,1917.8,1021.1,8.2,-243.9,4887.2,0.7,0.0,0.0,0.0,0.0,102.9,3067.3,883.1,-243.9,2619.1,-17.2,44.4,38.5,88.3,89.5,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,108.3,15.8,1998.0,0.2,6.0,-5.4,1.7,0.0,1756.7,1756.7,1.0,50.3,1.0,1.0,-5.9,13.4,27.1,0.0,0.0,0.0,14.5,-0.1,14.4,0.0,0.0,0.0,0.0,35.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-002-0000_7.tsf,2000-002-0000_7.ind,2/12/2014 11:34,2000_014,2000,218.3,45.7,70.3,32.1,124.0,121.0,33.5,28.2,100.1,30.0,28.5,991.0,1010.3,2025.9,2008.2,1106.2,1005.9,1008.7,222.0,223.0,17.5,23.5,30.5,32.5,-239.9,4.6,505.0,397.1,363.6,64.5,2373.9,2373.9,NaN,2373.9,47915.6,1.7,0.0,0.0,2216.3,1040.9,992.6,988.6,2023.4,1028.7,9.4,-243.9,4886.3,0.1,0.0,0.0,0.0,0.0,105.1,5013.2,883.1,-243.9,2688.0,-17.2,44.4,38.5,87.9,89.5,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,125.7,15.2,1998.1,0.2,6.5,-6.5,1.7,0.0,1794.2,1794.2,1.0,50.3,1.0,1.0,-7.4,12.0,25.0,0.0,0.0,0.0,16.6,0.0,16.6,0.0,0.0,0.0,0.0,30.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-002-0000_8.tsf,2000-002-0000_8.ind,2/12/2014 11:37,2000_016,2000,249.4,52.2,76.1,32.5,130.9,127.1,33.7,28.5,100.1,30.2,29.1,990.0,1010.4,2115.2,2096.8,1117.9,1006.3,1008.7,231.0,232.1,17.5,23.5,31.5,33.0,-239.9,4.7,542.2,426.1,391.1,65.5,2373.9,2373.9,NaN,2373.9,47928.9,1.5,0.0,0.0,2242.4,1045.3,992.6,988.7,2112.0,1031.3,10.6,-243.9,4883.3,0.5,0.0,0.0,0.0,0.0,106.5,4944.7,883.1,-243.9,2780.8,-17.2,44.4,38.5,87.9,89.7,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,138.6,14.3,1998.1,0.2,6.7,-1.6,1.7,0.0,1836.5,1836.5,1.0,50.3,1.0,1.0,-6.4,11.3,25.1,0.0,0.0,0.0,18.6,0.1,18.6,0.0,0.0,0.0,0.0,33.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-002-0000_9.tsf,2000-002-0000_9.ind,2/12/2014 11:41,2000_018,2000,282.0,59.1,81.3,32.5,137.0,133.0,34.0,29.0,100.1,30.3,29.5,988.6,1010.5,2194.9,2174.3,1129.6,1005.8,1008.9,238.9,240.0,17.3,24.5,32.5,33.5,-239.9,4.7,586.0,466.0,428.0,66.6,2373.9,2373.9,NaN,2373.9,47893.0,1.4,0.0,0.0,2240.1,1050.6,992.3,988.5,2186.9,1034.4,12.0,-243.9,4889.7,0.7,0.0,0.0,0.0,0.0,108.4,4864.4,883.1,-243.9,2857.3,-17.2,44.4,38.5,87.4,89.8,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,146.1,13.9,1998.1,0.2,7.0,-0.2,1.7,0.0,1864.7,1864.7,1.0,50.3,1.0,1.0,-4.8,11.5,26.2,0.0,0.0,0.0,20.7,0.2,20.8,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
