Dateiname Messdaten,Dateiname Indizierung,Datum,Bemerkung,Drehzahl,Drehmoment,Leistung,Gaspedal ,T_vV,T_nV,T_nDK,T_Zyl1,T_Zyl2,T_n_DK,T_Umg,T_Zyl3,p_vV,p_LLNK ,p_nDK,p_nLLK,p_nT,p_n_DK,p_Umg ,mpunkt_Ltr,mpunkt_L,rel. Feuchte,T_LLK_vl,T_LLK_rl,T_Zyl4,T_LLVKAELTE,X_H2O,T_vT_neu,T_nT_neu,T_nDPF_neu,T_AGRK_neu,T_ABGVT ,T_ABGNT,T_KAT2,T_n_Wü,ATL_rpm_Analog,Lamba (errechnet),Lambda Steuergerät,Nockenwelle,p_vT,p_AGRK,p_VTG,p_n_Wü,p_nV,p_nDPF,mpunkt_Kr,T_Kr,p_Kr ,m_Kr[kg],ZZP Zyl1,ZZP Zyl2,ZZP Zyl3,ZZP Zyl4,T_Öl,p_Öl,T_KW_Lager,T_nicht benutzt,n_Turbo,T_Kaeltemasch,T_G_Warnung,T_G_Abschaltung,T_KW_vl,T_KW_rl,T_vZyl2,Schwingung Getriebeglocke,Turbo Kühlmittelstrom,Lambda BS,Compa,HC,CO,CO2,O2,NOx,FSN Mittel,p_mi_mean_Pi,m_spez_HC_Pi,m_spez_NOx_Pi,m_spez_CO_Pi,m_spez_CO2_Pi,m_spez_Russ_Pi,m_spez_HC_P,m_spez_NOx_P,m_spez_CO_P,m_spez_CO2_P,m_spez_Russ_P,m_spez_HC_M,m_spez_NOx_M,m_spez_CO_M,m_spez_CO2_M,m_spez_Russ_M,frei,frei,frei,frei,frei,frei,frei,frei,frei,mpunkt_Kr_AG,PMAX_Zyl1,PMAX_POS_Zyl1,Drehzahl_Zyl1,PI_Zyl1,dPMAX_Zyl1,dPMAX_POS_Zyl1,PS_Zyl1,NI_Zyl1,p85_Zyl1,p85_MAX_Zyl1,KnST_Zyl1,KR_rel_Zyl1,PMAX_LIM_Zyl1,IMEP_LIM_Zyl1,CA05_Zyl1,CA50_Zyl1,CA90_Zyl1,COV_Zyl1,COV_AVG_Zyl1,COV_MAX_Zyl1,IMEP_Zyl1,PMEP_Zyl1,NMEP_Zyl1,frei,frei,frei,frei,Event_Cnt_Zyl1,NMEP_AVG_Zyl1,PMAX_AVG_Zyl1,CA50_AVG_Zyl1,CA50_AVG_Zyl1,PMAX_Zyl2,PMAX_POS_Zyl2,Drehzahl_Zyl2,PI_Zyl2,dPMAX_Zyl2,dPMAX_POS_Zyl2,PS_Zyl2,NI_Zyl2,p85_Zyl2,p85_MAX_Zyl2,KnST_Zyl2,KR_rel_Zyl2,PMAX_LIM_Zyl2,IMEP_LIM_Zyl2,CA05_Zyl2,CA50_Zyl2,CA90_Zyl2,COV_Zyl2,COV_AVG_Zyl2,COV_MAX_Zyl2,IMEP_Zyl2,PMEP_Zyl2,NMEP_Zyl2,frei,frei,frei,frei,Event_Cnt_Zyl2,NMEP_AVG_Zyl2,PMAX_AVG_Zyl2,CA50_AVG_Zyl2,CA50_AVG_Zyl2,PMAX_Zyl3,PMAX_POS_Zyl3,Drehzahl_Zyl3,PI_Zyl3,dPMAX_Zyl3,dPMAX_POS_Zyl3,PS_Zyl3,NI_Zyl3,p85_Zyl3,p85_MAX_Zyl3,KnST_Zyl3,KR_rel_Zyl3,PMAX_LIM_Zyl3,IMEP_LIM_Zyl3,CA05_Zyl3,CA50_Zyl3,CA90_Zyl3,COV_Zyl3,COV_AVG_Zyl3,COV_MAX_Zyl3,IMEP_Zyl3,PMEP_Zyl3,NMEP_Zyl3,frei,frei,frei,frei,Event_Cnt_Zyl3,NMEP_AVG_Zyl3,PMAX_AVG_Zyl3,CA50_AVG_Zyl3,CA50_AVG_Zyl3,PMAX_Zyl4,PMAX_POS_Zyl4,Drehzahl_Zyl4,PI_Zyl4,dPMAX_Zyl4,dPMAX_POS_Zyl4,PS_Zyl4,NI_Zyl4,p85_Zyl4,p85_MAX_Zyl4,KnST_Zyl4,KR_rel_Zyl4,PMAX_LIM_Zyl4,IMEP_LIM_Zyl4,CA05_Zyl4,CA50_Zyl4,CA90_Zyl4,COV_Zyl4,COV_AVG_Zyl4,COV_MAX_Zyl4,IMEP_Zyl4,PMEP_Zyl4,NMEP_Zyl4,frei,frei,frei,frei,Event_Cnt_Zyl4,NMEP_AVG_Zyl4,PMAX_AVG_Zyl4,CA50_AVG_Zyl4,CA50_AVG_Zyl4
-,- ,- ,-,1/min ,Nm ,kW,% ,degC,degC,degC,degC,degC,degC,degC,degC,mbar,mbar,mbar,mbar,mbar,mbar,mbar,kg/h,kg/h,%,degC,degC,degC,degC,,degC,degC,degC,degC,degC,degC,degC,degC,-,,-,°,mbar,mbar,mbar,mbar,mbar,mbar,kg/h,degC,mbar,,°,°,°,°,degC,mbar,degC,degC,Hz,degC,degC,degC,degC,degC,degC,mm,l/min,,-,ppm,%,%,%,ppm,-,bar,g/kWh,g/kWh,g/kWh,g/kWh,g/kWh,g/kWh,g/kWh,g/kWh,g/kWh,g/kWh,g/Nm,g/Nm,g/Nm,g/Nm,g/Nm,/,/,/,/,/,/,/,/,/,kg/h,bar,°KW n ZOT,1/min,bar,bar/°KW,°KW n ZOT,bar,V,mbar,mbar,ohne,%,ohne,ohne,°KW n ZOT,°KW n ZOT,°KW n ZOT,%,%,%,bar,bar,bar,/,/,/,/,ohne,bar,bar,°KW n ZOT,°KW n ZOT,bar,°KW n ZOT,1/min,bar,bar/°KW,°KW n ZOT,bar,V,mbar,mbar,ohne,%,ohne,ohne,°KW n ZOT,°KW n ZOT,°KW n ZOT,%,%,%,bar,bar,bar,/,/,/,/,ohne,bar,bar,°KW n ZOT,°KW n ZOT,bar,°KW n ZOT,1/min,bar,bar/°KW,°KW n ZOT,bar,V,mbar,mbar,ohne,%,ohne,ohne,°KW n ZOT,°KW n ZOT,°KW n ZOT,%,%,%,bar,bar,bar,/,/,/,/,ohne,bar,bar,°KW n ZOT,°KW n ZOT,bar,°KW n ZOT,1/min,bar,bar/°KW,°KW n ZOT,bar,V,mbar,mbar,ohne,%,ohne,ohne,°KW n ZOT,°KW n ZOT,°KW n ZOT,%,%,%,bar,bar,bar,/,/,/,/,ohne,bar,bar,°KW n ZOT,°KW n ZOT
2500-002-0000_1.tsf,2500-002-0000_1.ind,2/12/2014 0:00,2500_002,2500,31.0,8.1,37.8,32.7,79.2,78.2,29.4,26.5,100.1,30.4,26.5,1002.5,1010.6,1208.5,1218.9,1037.9,1006.2,1008.9,122.5,123.0,17.4,21.5,25.5,31.5,-239.9,4.7,222.8,185.9,186.9,99.9,2373.9,2373.9,NaN,2373.9,47892.2,3.3,0.0,0.0,1462.4,1008.9,992.8,988.7,1222.0,1012.1,2.6,-243.9,4906.3,0.4,0.0,0.0,0.0,0.0,97.4,3079.4,883.1,-243.9,1632.9,-17.3,48.4,42.5,90.3,89.4,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,54.6,4.3,2497.6,0.1,1.6,-8.7,0.5,0.0,493.3,493.3,0.1,6.4,-1.0,1.0,-6.8,14.0,25.3,0.0,0.0,0.0,4.6,-0.2,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2500-002-0000_2.tsf,2500-002-0000_2.ind,2/12/2014 0:03,2500_004,2500,63.4,16.6,44.8,31.1,81.2,80.0,29.0,26.5,100.1,30.0,26.4,1000.4,1010.8,1319.1,1323.6,1052.2,1006.7,1009.1,149.6,150.3,17.6,21.5,25.5,31.0,-239.9,4.6,295.6,243.4,226.3,99.4,2373.9,2373.9,NaN,2373.9,47888.3,2.6,0.0,0.0,1541.6,1012.9,992.7,988.8,1327.1,1015.1,4.1,-243.9,4906.7,0.3,0.0,0.0,0.0,0.0,97.7,3076.3,883.1,-243.9,1840.7,-17.3,48.4,41.5,90.0,89.5,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,61.9,3.5,2497.6,0.1,2.3,-0.6,0.8,0.0,840.6,840.6,0.7,38.3,-1.0,1.0,-4.9,13.9,25.7,0.0,0.0,0.0,6.9,-0.2,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2500-002-0000_3.tsf,2500-002-0000_3.ind,2/12/2014 0:07,2500_006,2500,93.6,24.5,51.8,31.0,94.0,92.5,30.0,27.2,100.1,29.8,27.0,997.3,1010.6,1504.2,1503.0,1070.1,1006.6,1009.0,177.2,178.0,17.8,22.5,27.5,31.5,-239.9,4.6,349.5,283.5,264.0,101.5,2373.9,2373.9,NaN,2373.9,47897.7,2.3,0.0,0.0,1740.4,1020.1,992.8,989.1,1509.1,1019.1,5.5,-243.9,4908.0,0.8,0.0,0.0,0.0,0.0,99.5,3076.5,883.1,-243.9,2152.1,-17.1,48.4,41.5,89.5,89.5,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,73.0,15.4,2497.6,0.2,3.1,-1.7,1.0,0.0,1054.8,1054.8,0.9,44.1,-1.0,1.0,-4.7,13.7,25.7,0.0,0.0,0.0,8.8,-0.2,8.6,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2500-002-0000_4.tsf,2500-002-0000_4.ind,2/12/2014 0:12,2500_008,2500,124.1,32.5,57.3,32.0,107.0,104.5,31.0,28.0,100.1,30.4,28.0,994.1,1010.7,1679.5,1673.3,1091.5,1007.1,1009.1,202.8,203.8,17.1,23.5,29.5,32.0,-239.9,4.6,400.4,322.9,298.2,103.5,2373.9,2373.9,NaN,2373.9,47892.2,2.0,0.0,0.0,1906.9,1028.3,993.0,989.3,1682.0,1024.0,7.1,-243.9,4898.0,0.3,0.0,0.0,0.0,0.0,101.6,3074.5,883.1,-243.9,2397.3,-17.2,48.4,41.5,88.5,89.3,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,84.3,15.9,2497.6,0.2,3.4,-2.5,1.1,0.0,1167.1,1167.1,1.0,48.1,-1.0,1.0,-5.1,14.4,26.5,0.0,0.0,0.0,10.8,-0.2,10.6,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2500-002-0000_5.tsf,2500-002-0000_5.ind,2/12/2014 0:17,2500_010,2500,158.1,41.4,60.6,32.0,122.7,120.1,32.0,28.5,100.1,30.4,28.5,992.4,1010.8,1840.2,1826.9,1113.8,1006.9,1009.1,216.6,217.6,17.3,23.5,31.5,33.0,-239.9,4.6,454.2,364.6,336.6,113.8,2373.9,2373.9,NaN,2373.9,47886.7,1.7,0.0,0.0,2041.1,1032.7,993.1,989.3,1839.7,1027.5,8.7,-243.9,4897.6,0.5,0.0,0.0,0.0,0.0,103.7,3078.1,883.1,-243.9,2611.3,-17.2,48.4,41.5,89.4,90.7,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,94.2,17.0,2497.6,0.3,4.9,-5.0,1.6,0.0,1624.8,1624.8,1.0,50.3,-1.0,1.0,-5.4,14.7,28.1,0.0,0.0,0.0,13.0,-0.2,12.8,0.0,0.0,0.0,0.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2500-002-0000_6.tsf,2500-002-0000_6.ind,2/12/2014 0:21,2500_012,2500,188.2,49.3,65.8,31.9,124.4,122.0,32.0,28.5,100.1,30.2,28.5,986.7,1010.9,1977.1,1962.4,1137.9,1006.8,1009.3,253.0,254.2,17.4,23.5,32.5,33.0,-239.9,4.6,485.7,388.5,356.6,99.4,2373.9,2373.9,NaN,2373.9,47893.7,1.8,0.0,0.0,2144.4,1047.7,993.0,989.3,1972.7,1035.3,10.1,-243.9,4900.1,0.7,0.0,0.0,0.0,0.0,105.6,3078.8,883.1,-243.9,2731.4,-17.1,48.4,41.5,88.6,90.2,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,108.2,15.6,2497.6,0.3,5.4,-6.4,1.8,0.0,1864.1,1864.1,1.0,50.3,1.0,1.0,-6.8,14.0,27.5,0.0,0.0,0.0,15.0,-0.1,14.8,0.0,0.0,0.0,0.0,34.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2500-002-0000_7.tsf,2500-002-0000_7.ind,2/12/2014 0:27,2500_014,2500,220.1,57.6,73.3,32.2,126.0,123.5,32.5,29.0,100.1,30.7,29.0,980.5,1010.9,2072.8,2054.1,1162.6,1006.8,1009.2,288.4,289.8,17.3,24.5,33.5,33.5,-239.9,4.7,523.7,420.8,388.8,68.6,2373.9,2373.9,NaN,2373.9,47892.2,1.7,0.0,0.0,2220.1,1065.0,993.1,989.4,2069.2,1045.0,11.7,-243.9,4899.6,0.7,0.0,0.0,0.0,0.0,108.5,5119.3,883.1,-243.9,2813.9,-17.1,48.4,41.5,88.5,90.5,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,125.4,14.7,2497.6,0.3,5.7,-3.3,2.2,0.0,2268.5,2268.5,1.0,50.3,1.0,1.0,-7.1,12.4,26.4,0.0,0.0,0.0,17.2,-0.1,17.1,0.0,0.0,0.0,0.0,55.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2500-002-0000_8.tsf,2500-002-0000_8.ind,2/12/2014 0:31,2500_016,2500,250.7,65.6,77.8,32.4,132.2,129.6,32.5,29.4,100.1,30.9,29.5,978.4,1010.9,2155.4,2134.8,1178.3,1007.0,1009.2,298.8,300.2,16.9,24.5,34.5,34.0,-239.9,4.7,563.5,457.4,421.0,70.7,2373.9,2373.9,NaN,2373.9,47886.7,1.6,0.0,0.0,2263.1,1072.5,993.1,989.4,2154.1,1049.9,13.2,-243.9,4894.5,0.7,0.0,0.0,0.0,0.0,110.4,5124.2,883.1,-243.9,2898.5,-17.1,48.4,41.5,88.5,91.0,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,13.3,139.0,13.3,2497.6,0.3,6.4,3.2,2.5,0.0,2569.7,2569.7,1.0,50.3,1.0,1.0,-6.6,11.7,26.6,0.0,0.0,0.0,19.2,-0.1,19.2,0.0,0.0,0.0,0.0,68.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2500-002-0000_9.tsf,2500-002-0000_9.ind,2/12/2014 0:36,2500_018,2500,282.9,74.1,83.6,32.9,137.4,134.6,33.0,29.5,100.1,30.9,29.5,976.6,1010.8,2221.9,2202.2,1191.3,1006.8,1009.0,306.1,307.5,17.0,24.5,35.5,34.0,-239.9,4.7,612.7,504.5,462.3,71.7,2373.9,2373.9,NaN,2373.9,47892.2,1.4,0.0,0.0,2281.1,1079.4,993.1,989.3,2216.9,1054.6,15.0,-243.9,4883.6,0.5,0.0,0.0,0.0,0.0,112.8,5126.7,883.1,-243.9,2961.8,-17.2,48.4,41.5,88.3,91.2,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,148.3,12.5,2497.6,0.3,7.2,3.6,2.7,0.0,2787.6,2787.6,1.0,50.3,1.0,1.0,-5.0,11.7,27.8,0.0,0.0,0.0,21.4,0.0,21.4,0.0,0.0,0.0,0.0,71.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
