Dateiname Messdaten,Dateiname Indizierung,Datum,Bemerkung,Drehzahl,Drehmoment,Leistung,Gaspedal ,T_vV,T_nV,T_nDK,T_Zyl1,T_Zyl2,T_n_DK,T_Umg,T_Zyl3,p_vV,p_LLNK ,p_nDK,p_nLLK,p_nT,p_n_DK,p_Umg ,mpunkt_Ltr,mpunkt_L,rel. Feuchte,T_LLK_vl,T_LLK_rl,T_Zyl4,T_LLVKAELTE,X_H2O,T_vT_neu,T_nT_neu,T_nDPF_neu,T_AGRK_neu,T_ABGVT ,T_ABGNT,T_KAT2,T_n_Wü,ATL_rpm_Analog,Lamba (errechnet),Lambda Steuergerät,Nockenwelle,p_vT,p_AGRK,p_VTG,p_n_Wü,p_nV,p_nDPF,mpunkt_Kr,T_Kr,p_Kr ,m_Kr[kg],ZZP Zyl1,ZZP Zyl2,ZZP Zyl3,ZZP Zyl4,T_Öl,p_Öl,T_KW_Lager,T_nicht benutzt,n_Turbo,T_Kaeltemasch,T_G_Warnung,T_G_Abschaltung,T_KW_vl,T_KW_rl,T_vZyl2,Schwingung Getriebeglocke,Turbo Kühlmittelstrom,Lambda BS,Compa,HC,CO,CO2,O2,NOx,FSN Mittel,p_mi_mean_Pi,m_spez_HC_Pi,m_spez_NOx_Pi,m_spez_CO_Pi,m_spez_CO2_Pi,m_spez_Russ_Pi,m_spez_HC_P,m_spez_NOx_P,m_spez_CO_P,m_spez_CO2_P,m_spez_Russ_P,m_spez_HC_M,m_spez_NOx_M,m_spez_CO_M,m_spez_CO2_M,m_spez_Russ_M,frei,frei,frei,frei,frei,frei,frei,frei,frei,mpunkt_Kr_AG,PMAX_Zyl1,PMAX_POS_Zyl1,Drehzahl_Zyl1,PI_Zyl1,dPMAX_Zyl1,dPMAX_POS_Zyl1,PS_Zyl1,NI_Zyl1,p85_Zyl1,p85_MAX_Zyl1,KnST_Zyl1,KR_rel_Zyl1,PMAX_LIM_Zyl1,IMEP_LIM_Zyl1,CA05_Zyl1,CA50_Zyl1,CA90_Zyl1,COV_Zyl1,COV_AVG_Zyl1,COV_MAX_Zyl1,IMEP_Zyl1,PMEP_Zyl1,NMEP_Zyl1,frei,frei,frei,frei,Event_Cnt_Zyl1,NMEP_AVG_Zyl1,PMAX_AVG_Zyl1,CA50_AVG_Zyl1,CA50_AVG_Zyl1,PMAX_Zyl2,PMAX_POS_Zyl2,Drehzahl_Zyl2,PI_Zyl2,dPMAX_Zyl2,dPMAX_POS_Zyl2,PS_Zyl2,NI_Zyl2,p85_Zyl2,p85_MAX_Zyl2,KnST_Zyl2,KR_rel_Zyl2,PMAX_LIM_Zyl2,IMEP_LIM_Zyl2,CA05_Zyl2,CA50_Zyl2,CA90_Zyl2,COV_Zyl2,COV_AVG_Zyl2,COV_MAX_Zyl2,IMEP_Zyl2,PMEP_Zyl2,NMEP_Zyl2,frei,frei,frei,frei,Event_Cnt_Zyl2,NMEP_AVG_Zyl2,PMAX_AVG_Zyl2,CA50_AVG_Zyl2,CA50_AVG_Zyl2,PMAX_Zyl3,PMAX_POS_Zyl3,Drehzahl_Zyl3,PI_Zyl3,dPMAX_Zyl3,dPMAX_POS_Zyl3,PS_Zyl3,NI_Zyl3,p85_Zyl3,p85_MAX_Zyl3,KnST_Zyl3,KR_rel_Zyl3,PMAX_LIM_Zyl3,IMEP_LIM_Zyl3,CA05_Zyl3,CA50_Zyl3,CA90_Zyl3,COV_Zyl3,COV_AVG_Zyl3,COV_MAX_Zyl3,IMEP_Zyl3,PMEP_Zyl3,NMEP_Zyl3,frei,frei,frei,frei,Event_Cnt_Zyl3,NMEP_AVG_Zyl3,PMAX_AVG_Zyl3,CA50_AVG_Zyl3,CA50_AVG_Zyl3,PMAX_Zyl4,PMAX_POS_Zyl4,Drehzahl_Zyl4,PI_Zyl4,dPMAX_Zyl4,dPMAX_POS_Zyl4,PS_Zyl4,NI_Zyl4,p85_Zyl4,p85_MAX_Zyl4,KnST_Zyl4,KR_rel_Zyl4,PMAX_LIM_Zyl4,IMEP_LIM_Zyl4,CA05_Zyl4,CA50_Zyl4,CA90_Zyl4,COV_Zyl4,COV_AVG_Zyl4,COV_MAX_Zyl4,IMEP_Zyl4,PMEP_Zyl4,NMEP_Zyl4,frei,frei,frei,frei,Event_Cnt_Zyl4,NMEP_AVG_Zyl4,PMAX_AVG_Zyl4,CA50_AVG_Zyl4,CA50_AVG_Zyl4
-,- ,- ,-,1/min ,Nm ,kW,% ,degC,degC,degC,degC,degC,degC,degC,degC,mbar,mbar,mbar,mbar,mbar,mbar,mbar,kg/h,kg/h,%,degC,degC,degC,degC,,degC,degC,degC,degC,degC,degC,degC,degC,-,,-,°,mbar,mbar,mbar,mbar,mbar,mbar,kg/h,degC,mbar,,°,°,°,°,degC,mbar,degC,degC,Hz,degC,degC,degC,degC,degC,degC,mm,l/min,,-,ppm,%,%,%,ppm,-,bar,g/kWh,g/kWh,g/kWh,g/kWh,g/kWh,g/kWh,g/kWh,g/kWh,g/kWh,g/kWh,g/Nm,g/Nm,g/Nm,g/Nm,g/Nm,/,/,/,/,/,/,/,/,/,kg/h,bar,°KW n ZOT,1/min,bar,bar/°KW,°KW n ZOT,bar,V,mbar,mbar,ohne,%,ohne,ohne,°KW n ZOT,°KW n ZOT,°KW n ZOT,%,%,%,bar,bar,bar,/,/,/,/,ohne,bar,bar,°KW n ZOT,°KW n ZOT,bar,°KW n ZOT,1/min,bar,bar/°KW,°KW n ZOT,bar,V,mbar,mbar,ohne,%,ohne,ohne,°KW n ZOT,°KW n ZOT,°KW n ZOT,%,%,%,bar,bar,bar,/,/,/,/,ohne,bar,bar,°KW n ZOT,°KW n ZOT,bar,°KW n ZOT,1/min,bar,bar/°KW,°KW n ZOT,bar,V,mbar,mbar,ohne,%,ohne,ohne,°KW n ZOT,°KW n ZOT,°KW n ZOT,%,%,%,bar,bar,bar,/,/,/,/,ohne,bar,bar,°KW n ZOT,°KW n ZOT,bar,°KW n ZOT,1/min,bar,bar/°KW,°KW n ZOT,bar,V,mbar,mbar,ohne,%,ohne,ohne,°KW n ZOT,°KW n ZOT,°KW n ZOT,%,%,%,bar,bar,bar,/,/,/,/,ohne,bar,bar,°KW n ZOT,°KW n ZOT
3500-002-0000_1.tsf,3500-002-0000_1.ind,13:46:45 am 12.02.2014,3500_002,3500,32.2,11.8,41.8,31.8,68.1,68.3,29.5,27.1,100.1,31.7,27.4,987.4,1010.6,1236.2,1240.5,1091.3,1006.5,1009.0,248.0,249.2,15.6,22.5,26.5,31.0,-239.9,4.5,282.6,238.4,238.5,62.5,2373.9,2373.9,NaN,2373.9,47691.4,4.1,0.0,0.0,1584.3,1039.4,993.7,989.9,1250.7,1029.2,4.2,-243.9,4927.5,0.4,0.0,0.0,0.0,0.0,102.8,5182.4,883.1,-243.9,1918.3,-17.2,54.3,46.4,90.0,89.5,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,56.0,1.7,3496.6,0.2,1.7,-7.9,1.0,0.0,1106.3,1106.3,0.6,32.1,-1.0,1.0,-7.7,15.6,27.6,0.0,0.0,0.0,5.1,-0.5,4.6,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3500-002-0000_2.tsf,3500-002-0000_2.ind,13:51:50 am 12.02.2014,3500_004,3500,62.9,23.1,51.6,30.9,78.7,78.5,29.5,27.0,100.1,31.2,27.0,982.7,1010.5,1376.0,1373.5,1118.2,1007.0,1008.8,275.0,276.3,15.9,22.5,27.5,30.5,-239.9,4.5,348.8,289.3,275.3,64.5,2373.9,2373.9,NaN,2373.9,47637.5,3.1,0.0,0.0,1740.4,1049.3,993.7,989.9,1385.1,1035.5,6.2,-243.9,4930.3,0.9,0.0,0.0,0.0,0.0,104.0,5180.4,883.1,-243.9,2179.4,-17.1,54.3,46.4,90.0,90.0,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,63.7,3.7,3496.7,0.3,2.4,2.6,1.7,0.0,1932.2,1932.2,0.9,45.0,-1.0,1.0,-7.0,15.3,28.0,0.0,0.0,0.0,7.3,-0.5,6.8,0.0,0.0,0.0,0.0,32.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3500-002-0000_3.tsf,3500-002-0000_3.ind,13:54:03 am 12.02.2014,3500_006,3500,94.4,34.6,54.1,30.2,90.1,89.3,30.0,27.5,100.1,30.9,27.5,977.8,1010.5,1516.0,1508.9,1149.2,1006.6,1008.8,302.1,303.4,16.1,23.5,29.5,31.0,-239.9,4.5,412.5,336.8,316.8,66.6,2373.9,2373.9,NaN,2373.9,47693.7,2.5,0.0,0.0,1909.0,1061.8,993.7,989.9,1524.5,1043.5,8.4,-243.9,4912.4,0.6,0.0,0.0,0.0,0.0,105.3,5180.5,883.1,-243.9,2414.2,-17.2,54.3,46.4,89.0,89.8,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,73.5,14.7,3496.7,0.3,3.0,1.9,2.0,0.0,2261.7,2261.7,1.0,49.8,-1.0,1.0,-5.8,15.0,28.2,0.0,0.0,0.0,9.5,-0.6,8.9,0.0,0.0,0.0,0.0,42.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3500-002-0000_4.tsf,3500-002-0000_4.ind,13:58:49 am 12.02.2014,3500_008,3500,125.3,45.9,58.8,31.2,106.2,105.2,31.0,28.5,100.1,31.3,28.5,971.0,1010.5,1697.7,1679.9,1185.7,1006.9,1008.9,332.5,334.0,15.5,23.5,32.5,32.0,-239.9,4.4,462.1,377.8,357.6,70.5,2373.9,2373.9,NaN,2373.9,47615.6,2.2,0.0,0.0,2146.2,1078.9,993.9,990.1,1695.2,1054.9,10.6,-243.9,4915.0,0.7,0.0,0.0,0.0,0.0,109.4,5180.9,883.1,-243.9,2668.5,-17.1,54.3,45.4,87.4,89.2,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,87.8,15.2,3496.7,0.4,3.9,5.0,2.8,0.0,3104.8,3104.8,1.0,50.3,-1.0,1.0,-6.4,14.6,28.0,0.0,0.0,0.0,11.6,-0.6,11.0,0.0,0.0,0.0,0.0,66.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3500-002-0000_5.tsf,3500-002-0000_5.ind,14:04:19 am 12.02.2014,3500_010,3500,155.4,56.9,64.2,31.5,122.7,121.3,32.1,30.0,100.1,31.3,30.0,962.8,1010.4,1895.4,1870.1,1228.1,1006.7,1008.8,364.4,366.0,15.5,24.5,35.5,34.0,-239.9,4.4,511.1,414.3,388.8,72.7,2373.9,2373.9,NaN,2373.9,47635.9,2.0,0.0,0.0,2430.6,1099.1,993.9,990.1,1887.3,1068.2,12.9,-243.9,4906.9,0.5,0.0,0.0,0.0,0.0,111.7,5182.8,883.1,-243.9,2924.9,-17.2,55.3,46.4,88.6,90.8,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,99.8,12.5,3496.7,0.8,9.4,6.7,6.4,0.0,6510.9,6510.9,1.0,50.3,-0.2,1.0,-2.4,15.4,29.9,0.0,0.0,0.0,14.0,-0.8,13.2,0.0,0.0,0.0,0.0,75.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3500-002-0000_6.tsf,3500-002-0000_6.ind,14:07:53 am 12.02.2014,3500_012,3500,187.0,68.5,70.3,32.0,133.3,131.5,33.0,30.4,100.1,31.6,30.5,957.6,1010.5,2012.6,1983.8,1262.9,1006.8,1008.7,382.3,384.0,15.3,24.9,37.5,34.5,-239.9,4.4,557.3,451.8,422.4,74.6,2373.9,2373.9,NaN,2373.9,47620.3,1.8,0.0,0.0,2603.9,1114.9,993.9,990.1,2005.6,1078.7,15.1,-243.9,4891.5,0.6,0.0,0.0,0.0,0.0,113.6,5186.0,883.1,-243.9,3069.4,-17.1,55.3,45.4,87.7,90.4,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,116.4,13.6,3496.6,0.8,9.5,3.9,6.4,0.0,6244.2,6244.2,1.0,49.0,1.0,1.0,-1.2,13.3,30.1,0.0,0.0,0.0,16.2,-0.8,15.4,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3500-002-0000_7.tsf,3500-002-0000_7.ind,14:11:58 am 12.02.2014,3500_014,3500,219.3,80.4,76.8,31.7,139.1,137.5,33.5,30.9,100.1,31.8,31.0,954.4,1010.6,2086.2,2057.8,1288.5,1006.4,1009.0,393.2,394.9,15.5,25.5,38.5,35.5,-239.9,4.5,609.5,498.9,466.4,77.1,2373.9,2373.9,NaN,2373.9,47620.3,1.6,0.0,0.0,2699.1,1129.9,993.8,989.9,2084.3,1089.1,17.5,-243.9,4885.1,0.5,0.0,0.0,0.0,0.0,116.5,5181.9,883.1,-243.9,3147.1,-17.2,55.3,45.4,87.5,91.2,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,17.6,133.4,11.5,3496.6,0.8,11.9,2.0,7.8,0.0,7797.0,7797.0,1.0,50.3,1.0,1.0,-0.8,12.2,29.8,0.0,0.0,0.0,18.5,-0.9,17.7,0.0,0.0,0.0,0.0,75.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3500-002-0000_8.tsf,3500-002-0000_8.ind,14:15:00 am 12.02.2014,3500_016,3500,251.3,92.1,83.5,32.2,146.2,144.6,34.0,31.5,100.1,32.1,31.5,951.3,1010.7,2156.0,2129.7,1311.7,1006.5,1009.0,403.6,405.5,15.3,25.5,39.5,36.0,-239.9,4.6,669.1,552.5,516.4,79.2,2373.9,2373.9,NaN,2373.9,47588.3,1.4,0.0,0.0,2804.5,1146.5,993.8,990.0,2155.5,1100.3,19.9,-243.9,4878.7,0.5,0.0,0.0,0.0,0.0,118.6,5180.7,883.1,-243.9,3232.5,-17.1,55.3,45.4,84.9,89.7,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,20.2,146.6,11.8,3496.6,0.9,13.6,1.0,8.9,0.0,8908.8,8908.8,1.0,50.3,1.0,1.0,-2.0,11.5,31.3,0.0,0.0,0.0,20.8,-0.9,19.9,0.0,0.0,0.0,0.0,75.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3500-002-0000_9.tsf,3500-002-0000_9.ind,14:21:14 am 12.02.2014,3500_018,3500,281.5,103.2,89.8,33.8,155.8,153.8,34.5,32.0,100.1,32.8,32.0,947.6,1010.6,2234.2,2207.8,1348.5,1006.5,1009.0,413.8,415.7,14.8,25.5,41.5,37.0,-239.9,4.6,739.5,622.6,578.7,81.3,2373.9,2373.9,NaN,2373.9,47585.9,1.3,0.0,0.0,2949.7,1166.6,993.9,990.1,2233.0,1114.6,22.6,-243.9,4862.7,0.1,0.0,0.0,0.0,0.0,121.7,5174.6,883.1,-243.9,3322.7,-17.2,55.3,46.4,84.4,90.2,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,154.4,11.0,3496.6,0.8,14.0,1.2,8.6,0.0,8460.9,8460.9,1.0,50.3,1.0,1.0,-2.6,12.3,34.4,0.0,0.0,0.0,22.9,-1.0,21.9,0.0,0.0,0.0,0.0,75.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
