phi,pZ1mean
° KW,bar
-360,2.1596436501
-359,2.1516361237
-358,2.1441795826
-357,2.1136858463
-356,2.0629720688
-355,2.000723362
-354,1.9344848394
-353,1.8573558331
-352,1.7829567194
-351,1.7274565697
-350,1.6823574305
-349,1.6642559767
-348,1.6620172262
-347,1.6641335487
-346,1.6697478294
-345,1.6866220236
-344,1.702729702
-343,1.7165964842
-342,1.7306160927
-341,1.7377953529
-340,1.7382247448
-339,1.7368438244
-338,1.7337149382
-337,1.7268736362
-336,1.7201248407
-335,1.7187746763
-334,1.7159523964
-333,1.7176092863
-332,1.718406558
-331,1.7199411392
-330,1.7259539366
-329,1.7308011055
-328,1.7400966883
-327,1.7491461039
-326,1.7565099001
-325,1.7650697231
-324,1.7697017193
-323,1.7756237984
-322,1.7782928944
-321,1.7796735764
-320,1.7801953554
-319,1.7780781984
-318,1.7754712105
-317,1.7733534575
-316,1.7720031738
-315,1.7683829069
-314,1.7682292461
-313,1.7639033794
-312,1.7638418674
-311,1.7633820772
-310,1.7636891603
-309,1.7654380798
-308,1.7668800354
-307,1.7694569826
-306,1.7710518837
-305,1.7748565674
-304,1.7761759758
-303,1.7786003351
-302,1.7786912918
-301,1.7811459303
-300,1.7825573683
-299,1.7836616039
-298,1.785810113
-297,1.7857792377
-296,1.7869758606
-295,1.7873741388
-294,1.7883250713
-293,1.7878656387
-292,1.7882646322
-291,1.7871288061
-290,1.787374258
-289,1.785379529
-288,1.7858096361
-287,1.7859640121
-286,1.7862395048
-285,1.7868837118
-284,1.7881411314
-283,1.7886939049
-282,1.788785696
-281,1.789706111
-280,1.790135622
-279,1.7915165424
-278,1.7919462919
-277,1.7934187651
-276,1.7942471504
-275,1.7952599525
-274,1.7972226143
-273,1.7986041307
-272,1.8005056381
-271,1.8023467064
-270,1.804187417
-269,1.8051382303
-268,1.8059973717
-267,1.807562232
-266,1.8079612255
-265,1.809679389
-264,1.8105688095
-263,1.8121944666
-262,1.8133915663
-261,1.8147416115
-260,1.8171037436
-259,1.8188525438
-258,1.8205091953
-257,1.8211833239
-256,1.8236378431
-255,1.8251725435
-254,1.8261545897
-253,1.8277491331
-252,1.8299891949
-251,1.8309093714
-250,1.8319529295
-249,1.8357877731
-248,1.8379362822
-247,1.8398382664
-246,1.8413717747
-245,1.8424454927
-244,1.8441631794
-243,1.8454824686
-242,1.8478451967
-241,1.848274827
-240,1.8510355949
-239,1.8525390625
-238,1.8556691408
-237,1.8589822054
-236,1.8602707386
-235,1.8639527559
-234,1.8666838408
-233,1.8691985607
-232,1.8704878092
-231,1.8745980263
-230,1.8765933514
-229,1.8786480427
-228,1.8803658485
-227,1.8818995953
